area_id,area_name,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
116011303,Blacktown (East) - Kings Park,104.1,113.3,94.2,67.4,70.6,79.7,41.2,52.2,38,64.6,84.2,70.1,913.4
116011304,Blacktown (North) - Marayong,102.2,116,111.2,73.1,65.4,80.5,43.6,54.3,46.6,70.3,80.2,73.1,913.8
116011560,Blacktown (South),102.2,116,111.2,73.1,65.4,80.5,43.6,54.3,46.6,70.3,80.2,73.1,913.8
116011561,Blacktown (West),93,146.3,126.3,124.5,92.2,120.5,54.2,52,68.5,73.3,96.5,86.9,1155.2
124011450,Blaxland - Warrimoo - Lapstone,110,133,101,77.5,64.5,64.1,34.6,43.8,43.5,69.6,89.6,91,1155.2
102021045,Blue Haven - San Remo,88.9,124.8,145.5,127.8,103.2,138,73.4,75,66.7,84,93.4,84.1,1222.9
124011451,Blue Mountains - North,139.3,175,133.9,87.6,68.9,87.7,46.4,65.1,47.1,74.3,96.8,99.2,1131
124021456,Blue Mountains - South,139.3,175,133.9,87.6,68.9,87.7,46.4,65.1,47.1,74.3,96.8,99.2,1131
118011339,Bondi - Tamarama - Bronte,90.3,127.3,88.7,111.7,108.2,99.6,106.5,60.8,76.9,62,71.7,93.7,1203.7
118011340,Bondi Beach - North Bondi,97.5,120.3,125.4,134.5,122.5,138.4,96.1,81.3,70.9,74.3,88.6,78.9,1219.9
118011341,Bondi Junction - Waverly,100.2,114.5,136.2,115.5,115.9,138.4,95.5,86.8,66,75.5,82.6,76.1,1201.2
127021509,Bonnyrigg Heights - Bonnyrigg,74.1,105.9,98.8,53.7,39,76,32,31.5,33.7,54,66.2,66,699.7
127021510,Bossley Park - Abbotsbury,73.4,118.3,94.5,67,42.7,72.6,39.5,38.2,37.1,61.1,74.8,65.7,771.7
117011321,Botany,93.8,114.3,120.7,105,95.3,124.8,69.2,75.6,59.7,70.1,79.5,72.8,1079.1
102011029,Box Head - MacMasters Beach,112.2,126.8,138.2,123.3,102.2,115.8,66.4,69.8,61.4,84.3,91.1,76.2,1174.9
123021436,Bradbury - Wedderburn,80.8,86.5,96.2,54.2,35.4,91.4,28,41,33,45.7,63.5,58.1,692
102021046,Budgewoi - Buff Point - Halekulani,88.9,124.8,145.5,127.8,103.2,138,73.4,75,66.7,84,93.4,84.1,1222.9
120031391,Burwood - Croydon,103.2,126.5,130.5,103.3,93.9,121.6,66.5,71.9,60.7,75.2,87.2,77.2,1127.9
127021511,Cabramatta - Lansvale,52.6,153.6,65.7,59.6,53.9,76.3,34.8,22.4,35.6,54,74.6,65.9,764
